sex,age,weight,height
m,13.75,98,64.8
m,12.5,128,60.8
m,12.25,79,50.5
m,14.4167,93,61.3
m,13.6667,95,57.8
m,14.6667,98.5,63.8
m,15,104,61.8
m,12.5833,86,58.3
m,14.8333,119.5,67.3
m,15.5,112,66
m,14.5833,98.5,63.5
m,13.6667,108,63.5
m,12,117.5,60
m,14.3333,112,65
m,14,93.5,60
m,13.1667,121,65
m,14.6667,81,61.5
m,15.6667,140,71
m,15.6667,150.5,65.8
m,13.8333,84,62.5
m,13.8333,121,67.3
m,13.5,105,60
m,13.8333,91,62
m,13.5833,112,66
m,14.5,112,63
m,13.3333,116,64
m,12.4167,72,56.3
m,12.1667,71.5,55
m,12.75,128,64.8
m,14.8333,112,63.8
m,11.8333,76,55
m,13.9167,107.5,62
